     d1,      d2,      d3,  AbsRel,   SqRel,    RMSE, RMSElog,   SILog,   log10
  6.808,   0.028,   0.060,   0.127,   2.092,   0.089,   0.970,   1.000,   1.000
  5.338,   0.016,   0.038,   0.070,   1.431,   0.055,   0.994,   0.999,   1.000
  5.536,   0.030,   0.072,   0.119,   1.764,   0.081,   0.995,   0.999,   1.000
  9.408,   0.030,   0.066,   0.227,   2.887,   0.096,   0.981,   0.998,   1.000
  9.251,   0.023,   0.056,   0.252,   2.984,   0.094,   0.958,   0.995,   1.000
  5.635,   0.018,   0.040,   0.147,   2.756,   0.066,   0.986,   0.997,   1.000
  6.617,   0.034,   0.074,   0.179,   2.449,   0.095,   0.982,   0.998,   1.000
  8.667,   0.028,   0.068,   0.160,   1.891,   0.102,   0.948,   0.996,   0.999
  8.914,   0.035,   0.075,   0.211,   2.598,   0.112,   0.949,   0.999,   1.000
  4.177,   0.039,   0.093,   0.109,   1.250,   0.095,   0.996,   0.999,   1.000
  6.710,   0.020,   0.048,   0.172,   2.626,   0.070,   0.985,   0.999,   1.000
  8.081,   0.023,   0.052,   0.193,   2.606,   0.084,   0.975,   0.995,   1.000
  9.995,   0.037,   0.089,   0.248,   2.625,   0.116,   0.925,   0.997,   1.000
  9.101,   0.019,   0.044,   0.223,   3.114,   0.092,   0.972,   0.990,   0.998
  8.845,   0.018,   0.042,   0.242,   3.012,   0.089,   0.971,   0.986,   0.999
