     d1,      d2,      d3,  AbsRel,   SqRel,    RMSE, RMSElog,   SILog,   log10
  7.344,   0.019,   0.046,   0.171,   2.203,   0.078,   0.978,   0.995,   0.999
  6.643,   0.023,   0.051,   0.165,   2.647,   0.078,   0.985,   0.999,   1.000
  5.369,   0.014,   0.034,   0.072,   1.389,   0.057,   0.987,   0.998,   1.000
  4.020,   0.012,   0.029,   0.051,   1.411,   0.042,   0.998,   1.000,   1.000
  9.929,   0.021,   0.047,   0.315,   3.929,   0.100,   0.952,   0.990,   0.997
  7.179,   0.015,   0.033,   0.146,   2.519,   0.072,   0.984,   0.995,   0.998
 10.230,   0.026,   0.058,   0.221,   2.642,   0.102,   0.950,   0.990,   0.999
  7.153,   0.021,   0.050,   0.144,   2.391,   0.076,   0.988,   0.996,   1.000
 14.216,   0.038,   0.081,   0.523,   4.793,   0.145,   0.934,   0.980,   0.987
  8.466,   0.026,   0.061,   0.153,   1.942,   0.087,   0.980,   0.997,   0.999
 16.895,   0.041,   0.105,   0.808,   3.615,   0.169,   0.920,   0.976,   0.987
  6.872,   0.018,   0.040,   0.119,   1.916,   0.075,   0.970,   0.997,   1.000
  7.131,   0.018,   0.040,   0.166,   2.730,   0.077,   0.975,   0.998,   0.999
 11.148,   0.027,   0.061,   0.297,   3.097,   0.112,   0.948,   0.985,   0.996
  5.939,   0.021,   0.047,   0.059,   1.099,   0.067,   0.988,   0.999,   0.999
  6.662,   0.021,   0.047,   0.143,   2.472,   0.071,   0.989,   0.999,   0.999
  8.623,   0.050,   0.106,   0.307,   2.493,   0.143,   0.873,   1.000,   1.000
 15.341,   0.065,   0.130,   0.904,   5.828,   0.213,   0.795,   0.930,   0.990
 16.875,   0.044,   0.093,   0.416,   3.231,   0.169,   0.925,   0.953,   0.979
  7.212,   0.018,   0.040,   0.213,   3.240,   0.077,   0.968,   0.998,   1.000
 11.931,   0.036,   0.075,   0.366,   3.635,   0.133,   0.897,   0.987,   0.998
  7.910,   0.021,   0.050,   0.149,   1.979,   0.084,   0.978,   0.995,   0.998
 10.277,   0.021,   0.047,   0.312,   3.762,   0.103,   0.950,   0.985,   0.999
 11.494,   0.036,   0.081,   0.263,   3.255,   0.115,   0.968,   0.988,   1.000
 12.078,   0.027,   0.057,   0.390,   3.865,   0.125,   0.946,   0.968,   0.997
  4.336,   0.014,   0.033,   0.062,   1.606,   0.046,   0.998,   1.000,   1.000
  9.490,   0.030,   0.070,   0.270,   3.151,   0.100,   0.969,   0.995,   0.999
 10.077,   0.025,   0.055,   0.160,   2.083,   0.101,   0.942,   0.998,   1.000
  3.675,   0.014,   0.032,   0.058,   1.590,   0.046,   0.997,   1.000,   1.000
  3.684,   0.014,   0.032,   0.037,   1.066,   0.043,   0.999,   1.000,   1.000
 17.458,   0.080,   0.211,   1.261,   4.957,   0.234,   0.690,   0.957,   1.000
 11.658,   0.040,   0.095,   0.260,   2.666,   0.119,   0.954,   0.996,   0.998
 10.258,   0.029,   0.067,   0.336,   3.185,   0.110,   0.950,   0.991,   0.995
  9.517,   0.030,   0.065,   0.239,   2.914,   0.108,   0.945,   0.996,   0.999
 10.497,   0.035,   0.081,   0.371,   4.241,   0.109,   0.928,   0.999,   1.000
  8.601,   0.026,   0.058,   0.189,   2.666,   0.089,   0.965,   0.997,   1.000
 13.197,   0.034,   0.086,   0.615,   4.321,   0.140,   0.894,   0.974,   0.998
 13.626,   0.045,   0.095,   0.475,   4.249,   0.158,   0.859,   0.975,   0.998
  9.974,   0.025,   0.057,   0.353,   3.814,   0.105,   0.954,   0.989,   0.998
  5.237,   0.019,   0.045,   0.104,   2.066,   0.060,   0.994,   1.000,   1.000
  3.652,   0.013,   0.029,   0.059,   1.661,   0.043,   0.997,   1.000,   1.000
 10.150,   0.031,   0.069,   0.282,   3.024,   0.104,   0.946,   0.999,   1.000
 13.826,   0.040,   0.083,   0.700,   5.610,   0.158,   0.885,   0.956,   0.997
  7.988,   0.023,   0.051,   0.105,   1.733,   0.084,   0.961,   1.000,   1.000
  5.302,   0.016,   0.037,   0.071,   1.601,   0.053,   0.995,   1.000,   1.000
  6.850,   0.020,   0.046,   0.098,   1.833,   0.070,   0.983,   0.998,   1.000
  8.695,   0.026,   0.058,   0.224,   3.057,   0.088,   0.984,   0.997,   0.999
 11.783,   0.026,   0.063,   0.488,   4.269,   0.119,   0.922,   0.984,   0.999
  7.451,   0.025,   0.056,   0.233,   3.301,   0.083,   0.968,   0.999,   1.000
