     d1,      d2,      d3,  AbsRel,   SqRel,    RMSE, RMSElog,   SILog,   log10
  8.468,   0.023,   0.053,   0.127,   1.973,   0.086,   0.975,   0.994,   1.000
  5.934,   0.016,   0.037,   0.057,   1.173,   0.060,   0.990,   0.997,   1.000
 10.188,   0.031,   0.075,   0.294,   2.797,   0.112,   0.914,   1.000,   1.000
  5.925,   0.018,   0.042,   0.097,   1.925,   0.059,   0.997,   1.000,   1.000
  7.820,   0.022,   0.050,   0.147,   2.191,   0.079,   0.973,   0.997,   1.000
  6.227,   0.025,   0.054,   0.158,   2.672,   0.078,   0.985,   0.999,   1.000
  9.848,   0.025,   0.061,   0.284,   2.796,   0.099,   0.972,   0.993,   0.998
  6.105,   0.016,   0.037,   0.063,   1.384,   0.063,   0.973,   0.999,   1.000
 12.344,   0.041,   0.092,   0.421,   3.593,   0.126,   0.887,   0.999,   1.000
  8.567,   0.028,   0.064,   0.171,   2.605,   0.087,   0.982,   0.999,   1.000
  9.520,   0.023,   0.057,   0.286,   2.865,   0.101,   0.932,   0.996,   0.999
  7.797,   0.022,   0.052,   0.116,   1.851,   0.079,   0.985,   0.998,   1.000
  3.816,   0.010,   0.023,   0.055,   1.640,   0.039,   0.997,   1.000,   1.000
  5.552,   0.017,   0.038,   0.086,   1.910,   0.056,   0.994,   0.999,   1.000
  9.709,   0.023,   0.051,   0.329,   3.961,   0.101,   0.957,   0.989,   0.998
  7.146,   0.024,   0.059,   0.124,   1.837,   0.080,   0.994,   1.000,   1.000
 13.834,   0.039,   0.080,   0.518,   4.439,   0.156,   0.929,   0.955,   0.991
  6.268,   0.016,   0.036,   0.153,   3.030,   0.064,   0.980,   0.999,   0.999
  7.685,   0.028,   0.063,   0.145,   2.423,   0.086,   0.980,   0.998,   0.999
  3.638,   0.009,   0.020,   0.047,   1.469,   0.037,   0.996,   1.000,   1.000
  6.722,   0.017,   0.041,   0.121,   2.049,   0.069,   0.992,   0.998,   0.999
  6.391,   0.022,   0.049,   0.167,   2.764,   0.073,   0.989,   0.997,   0.999
  9.231,   0.024,   0.059,   0.247,   2.642,   0.099,   0.942,   0.996,   1.000
  9.884,   0.027,   0.062,   0.226,   2.707,   0.101,   0.944,   0.995,   1.000
 11.300,   0.053,   0.109,   0.499,   4.170,   0.164,   0.845,   0.978,   0.999
  7.585,   0.017,   0.041,   0.192,   2.391,   0.078,   0.973,   0.996,   0.999
  6.497,   0.022,   0.049,   0.130,   2.343,   0.071,   0.990,   1.000,   1.000
  5.135,   0.015,   0.035,   0.074,   1.407,   0.056,   0.985,   0.999,   1.000
  3.866,   0.015,   0.035,   0.055,   1.416,   0.045,   0.999,   1.000,   1.000
  9.810,   0.023,   0.051,   0.305,   3.829,   0.101,   0.960,   0.990,   0.997
  7.681,   0.017,   0.038,   0.161,   2.700,   0.077,   0.980,   0.995,   0.998
  9.084,   0.021,   0.047,   0.163,   2.292,   0.091,   0.957,   0.994,   1.000
  7.488,   0.020,   0.046,   0.149,   2.553,   0.075,   0.987,   0.993,   1.000
 11.617,   0.034,   0.079,   0.446,   4.371,   0.118,   0.942,   0.994,   0.996
 12.180,   0.035,   0.087,   0.153,   1.565,   0.129,   0.893,   0.997,   1.000
 16.202,   0.036,   0.095,   0.820,   3.379,   0.162,   0.955,   0.973,   0.985
  5.505,   0.014,   0.030,   0.073,   1.511,   0.058,   0.982,   0.999,   1.000
  6.785,   0.019,   0.041,   0.137,   2.461,   0.072,   0.977,   0.999,   1.000
 10.233,   0.024,   0.053,   0.256,   2.988,   0.102,   0.950,   0.991,   0.997
  5.551,   0.019,   0.044,   0.053,   1.042,   0.060,   0.991,   1.000,   1.000
  6.307,   0.020,   0.045,   0.124,   2.209,   0.066,   0.992,   0.999,   0.999
  6.874,   0.032,   0.070,   0.125,   1.462,   0.095,   0.979,   1.000,   1.000
 11.425,   0.050,   0.104,   0.548,   4.596,   0.159,   0.854,   0.976,   0.999
 17.051,   0.048,   0.105,   0.417,   3.172,   0.171,   0.918,   0.955,   0.986
  5.980,   0.015,   0.034,   0.138,   2.600,   0.063,   0.984,   0.999,   1.000
 11.240,   0.036,   0.078,   0.317,   3.195,   0.125,   0.922,   0.991,   0.998
  8.365,   0.022,   0.054,   0.169,   1.991,   0.089,   0.974,   0.997,   0.999
  9.870,   0.022,   0.046,   0.306,   3.797,   0.104,   0.955,   0.983,   0.999
 10.759,   0.032,   0.072,   0.250,   3.291,   0.108,   0.966,   0.987,   0.999
 11.048,   0.032,   0.068,   0.328,   3.435,   0.123,   0.950,   0.976,   0.997
  5.237,   0.015,   0.036,   0.081,   1.660,   0.053,   0.998,   1.000,   1.000
  9.613,   0.029,   0.067,   0.227,   2.822,   0.099,   0.956,   0.996,   1.000
 10.992,   0.028,   0.059,   0.182,   2.186,   0.116,   0.942,   0.983,   1.000
  3.057,   0.010,   0.023,   0.036,   1.224,   0.034,   0.998,   1.000,   1.000
  6.375,   0.021,   0.050,   0.087,   1.467,   0.068,   0.995,   1.000,   1.000
 15.591,   0.058,   0.155,   0.892,   3.997,   0.197,   0.757,   0.970,   0.999
 11.107,   0.041,   0.099,   0.284,   2.553,   0.120,   0.955,   0.997,   0.999
 10.738,   0.040,   0.090,   0.408,   3.375,   0.126,   0.948,   0.989,   0.995
  9.710,   0.033,   0.070,   0.251,   2.861,   0.115,   0.922,   0.995,   0.999
 11.910,   0.038,   0.088,   0.439,   4.327,   0.124,   0.902,   0.993,   1.000
  7.296,   0.024,   0.052,   0.141,   2.276,   0.079,   0.970,   0.999,   1.000
 12.191,   0.036,   0.092,   0.644,   4.534,   0.136,   0.868,   0.985,   0.998
 12.442,   0.049,   0.102,   0.484,   4.425,   0.157,   0.890,   0.979,   0.998
 11.577,   0.034,   0.077,   0.442,   4.138,   0.124,   0.920,   0.983,   0.998
  5.179,   0.012,   0.029,   0.087,   1.945,   0.052,   0.991,   0.999,   1.000
  4.160,   0.013,   0.031,   0.045,   1.376,   0.042,   0.998,   1.000,   1.000
 10.517,   0.033,   0.072,   0.307,   3.168,   0.110,   0.935,   0.999,   1.000
